Query,Rank,Product,Product_Rating,is_BestSeller,is_BestValue,is_Trending,is_Ad,is_FAssured,No_of_Ratings_and_Reviews,Seller_Name,Seller_Rating,Seller_Since,Seller_Product_Quality,Seller_Service_Quality
shoes,19,Walking shoes Running Shoes For Men  (Black),3.8,False,False,False,False,False,"1,739 ratings and 215 reviews",ONLINETRUSTEDSELLER.,3.7,1 year 4 months,2.4,5.0
shoes,20,"Men SM-482 Navy Blue Neon Orange Running Shoes For Men  (Navy, Orange)",4.2,False,False,False,True,False,"6,747 ratings and 912 reviews",VirajEnt.,4.4,5 years 0 months,3.8,5.0
shoes,21,Running Shoes For Men  (Grey),3.6,False,False,False,False,False,"11,489 ratings and 1,479 reviews",SD ENTERPRISE.,3.8,1 year 11 months,2.9,4.7
shoes,22,Walking Shoes For Men  (Green),4.2,False,False,False,False,True,764 ratings and 103 reviews,luka modric .,4.4,4 years 1 month,4.1,4.7
shoes,23,"Cosco Running Shoes For Men  (Navy, Blue)",4.0,False,False,False,False,True,"81,072 ratings and 12,089 reviews",Asianshoe.,4.1,5 years 5 months,3.6,4.5
shoes,24,Encounter 3.0 Football Shoes For Men  (Yellow),4.2,False,False,False,True,True,"1,981 ratings and 285 reviews",RetailNet.,4.5,4 years 5 months,4.0,5.0
shoes,25,"Combo Pack of 2 Latest Collection Stylish casual Sports Running Shoes Walking Shoes For Men  (Black, Grey)",3.6,False,False,False,False,True,"3,003 ratings and 374 reviews",AXTER.,3.7,4 years 0 months,2.6,4.7
shoes,26,"Running Shoes For Men  (Black, White)",3.7,False,False,False,False,True,630 ratings and 66 reviews,DealsyouFootwear.,43.4,3 years 2 months,2.1,4.7
shoes,27,"Mesh,Cricket, Badminton, Volly Ball, Sports Running Shoes For Men  (Red)",3.8,False,False,False,False,True,"81,726 ratings and 10,481 reviews",LAYASA .,3.9,4 years 11 months,2.9,5.0
shoes,28,"Designer Loafers For Men  (Brown, Blue)",4.0,False,False,False,True,True,"2,989 ratings and 315 reviews",HotstyleProducts.,4.1,3 years 4 months,3.3,4.9
shoes,29,Combo Pack of 3 Casual Shoes For Men  (Navy),3.8,False,False,False,False,False,141 ratings and 22 reviews,Volve.,3.3,11 months,3.0,3.6
shoes,30,Combo Pack of 5 Casual Sneakers With Sneakers For Men  (Multicolor),4.0,False,False,False,False,True,"43,859 ratings and 6,061 reviews",SuperZone,0.4,5 years 2 months,3.0,4.9
shoes,31,"Combo Pack of 2 Casual Shoes (Loafers Shoes) Slip On Sneakers For Men  (Navy, Blue)",3.8,False,False,False,False,True,"36,055 ratings and 4,560 reviews",SuperZone,0.4,5 years 2 months,3.0,4.9
shoes,32,Revolution 4 Running Shoes For Women  (Black),4.3,False,False,False,True,True,255 ratings and 24 reviews,RetailNet.,4.5,4 years 5 months,4.0,5.0
shoes,33,"Pack of 02 Pairs Running Shoes Running Shoes For Men  (Blue, Grey)",3.6,False,False,False,False,True,"1,675 ratings and 229 reviews",SuperZone,0.4,5 years 2 months,3.0,4.9
shoes,34,Combo Pack Of 2 Casual Shoes Slip On Sneakers For Men  (Multicolor),3.8,False,False,False,False,True,"14,986 ratings and 2,019 reviews",SALEMARTINDIA,0.4,4 years 3 months,3.0,5.0
shoes,35,Walking Shoes For Women  (Grey),4.2,False,False,False,False,True,"1,019 ratings and 183 reviews",MAHAVEER OVERSEAS.,3.4,,,
shoes,36,Pro Encounter 4 Football Shoes For Men  (Orange),4.0,False,False,False,True,True,"1,551 ratings and 180 reviews",RetailNet.,4.5,4 years 5 months,4.0,5.0
shoes,37,Lace Up For Men  (Black),4.0,False,False,False,False,True,201 ratings and 41 reviews,MACTREE.,3.6,5 years 7 months,2.3,4.8
shoes,38,Running Shoes For Men  (Black),3.5,False,False,False,False,True,288 ratings and 24 reviews,Gudu.,3.7,2 years 7 months,2.7,4.6
shoes,39,Combo pack of 2 Men Sports & Running Sports Shoes Walking Shoes For Men  (Multicolor),3.8,False,False,False,False,True,"4,007 ratings and 535 reviews",BERSACHE.,3.5,4 years 11 months,2.4,4.6
shoes,40,Sneakers For Men  (Black),3.9,False,False,False,True,True,192 ratings and 26 reviews,RED ROSE ENTERPRISES.,3.6,3 years 10 months,2.4,4.9
shoes,41,Men's CASUAL Shoes Fashion Breathable Sneakers Sneakers For Men  (Black),3.7,False,False,False,False,True,"2,110 ratings and 241 reviews",,,,,
shoes,42,"Elasto-02 Navy Maroon Running Shoes For Women  (Navy, Maroon)",4.2,False,False,False,False,True,"15,974 ratings and 2,326 reviews",Asianshoe.,4.1,5 years 5 months,3.6,4.5
shoes,43,Walking Shoes For Men  (Blue),4.3,False,False,False,False,True,20 ratings and 5 reviews,Jugmugshoes.,4.1,5 years 8 months,3.1,5.0
shoes,44,SOCKS Running Shoes For Men  (Grey),4.1,False,False,False,False,True,"50,765 ratings and 7,514 reviews",Density.,4.3,4 years 1 month,3.6,4.9
shoes,45,Walking Shoes For Men  (Orange),3.7,False,False,False,False,True,871 ratings and 117 reviews,OnlineBasket.,3.6,3 years 4 months,2.7,4.6
